,number_parameters,training_time,validation_time,testing_time,checkpoint_size,mean_validation_loss,cumulative_validation_loss,validation_mse,validation_nrmse_mean,validation_nrmse_range,validation_nrmse_std,mean_test_loss,cumulative_test_loss,test_mse,test_nrmse_mean,test_nrmse_range,test_nrmse_std,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation,trial_index
0,30207,3.647582260767619,1.6204639752705892,1.6097424387931825,377651.0,14.629523277282715,2506.569580078125,446.7408447265625,0.652096152305603,0.20756204426288605,0.6562910676002502,14.969816207885742,3186.619384765625,457.5108337402344,0.6251118779182434,0.20750592648983002,0.6406460404396057,0.13939250446856022,0.29179016780108213,0.36304474622011185,185,70,32,0.007883087172975,0.9591311473866608,0.9267279447398626,0.54860832831763,relu,0
0,108723,3.6852811058362325,1.598559017976125,1.5962287108103435,1324275.0,32.51662063598633,5534.90087890625,2207.190673828125,1.4175937175750732,0.45733872056007385,1.4391387701034546,33.71624755859375,7178.12939453125,2318.640625,1.4048058986663818,0.4713199734687805,1.447542428970337,0.662033773958683,0.8317615948617458,0.4076535301283002,246,200,197,3.9192751147735946e-07,0.6603624995002662,0.5569764624797351,0.6741745665307209,swish,1
0,94789,3.6704004923502604,1.5853152354558309,1.6095051368077595,1155699.0,32.61013412475586,5550.89404296875,2213.57568359375,1.419803500175476,0.4580457806587219,1.441370964050293,33.80938720703125,7197.97119140625,2325.253662109375,1.4069037437438965,0.4720173478126526,1.4496958255767822,0.20678980089724064,0.7646856242790818,0.8442398048937321,266,228,55,1.189565164810625e-08,0.7537239698700319,0.6743977212786377,0.3136275518987791,relu,2
0,76108,3.585116084416707,1.5765372117360432,1.5770943562189739,931571.0,18.74852180480957,3204.97216796875,831.5964965820312,0.8611469864845276,0.27733346819877625,0.8720132112503052,19.396581649780273,4129.64892578125,870.9183959960938,0.8503237962722778,0.2846093773841858,0.8741267323493958,0.9467005282640457,0.8049359079450369,0.6195737877860665,224,155,149,0.0037383676993812606,0.7427789428563307,0.5427868351501852,0.30335826123386195,leaky_relu,3
0,60942,3.5802213271458943,1.591271710395813,1.5853328545888266,748851.0,15.799689292907715,2704.312744140625,548.1063232421875,0.7075479626655579,0.22678393125534058,0.7144701480865479,16.345928192138672,3479.69775390625,570.2389526367188,0.6912757158279419,0.23052266240119934,0.7093335390090942,0.8069810466840863,0.5380580276250839,0.323952822946012,273,113,70,0.01925142345245946,0.5184898070126978,0.9031888594083334,0.19030098519908142,swish,4
0,64238,3.552025643984477,1.5837761203447978,1.591849184036255,788339.0,32.42177963256836,5518.68212890625,2200.6142578125,1.4153205156326294,0.4566108286380768,1.436840534210205,33.62168502807617,7157.994140625,2311.820068359375,1.402642846107483,0.47060078382492065,1.445320963859558,0.8946209102869034,0.2788225896656513,0.1027371259406209,226,146,88,2.466032721541651e-08,0.9833970971039142,0.2888671748775307,0.5686129628630027,relu,5
0,21168,3.567912677923838,1.5829737623532614,1.5998895406723022,268403.0,19.383649826049805,3314.289794921875,853.0123901367188,0.8738614916801453,0.28123947978019714,0.8842365741729736,19.96428871154785,4250.46728515625,891.7222900390625,0.8607273101806641,0.2879102826118469,0.8843876719474792,0.6032250262796879,0.7773642288520932,0.07404219638556242,106,103,16,0.21667126841641798,0.8675250729947063,0.5833271147065636,0.8705951344706637,relu,6
0,45260,3.575148280461629,1.581396484375,1.5790697415669759,559155.0,29.53908348083496,5048.33251953125,1193.0755615234375,1.0997787714004517,0.3464377820491791,1.0954928398132324,30.021148681640625,6393.66064453125,1214.956787109375,1.0481374263763428,0.3453725278377533,1.0645883083343506,0.18806657940149307,0.4528248393908143,0.7160755507647991,211,131,4,0.39410944208187654,0.5770181325347646,0.10921047096151375,0.669848701737406,leaky_relu,7
0,180676,3.5769513924916585,1.5866333484649657,1.5850520531336467,2189555.0,17.050256729125977,2915.71240234375,666.3551025390625,0.7738403081893921,0.24868200719356537,0.782524049282074,17.600107192993164,3747.058837890625,695.4535522460938,0.7604401111602783,0.25413092970848083,0.7810933589935303,0.7302408311516047,0.928478566929698,0.5155602255836129,300,298,224,8.217364247166853e-05,0.9320388853302125,0.4666525753453973,0.5453505787480089,leaky_relu,8
0,96214,3.5700028419494627,1.5845106442769368,1.5973102847735088,1172979.0,16.76551055908203,2867.47216796875,642.9700927734375,0.7607818245887756,0.24438953399658203,0.7691601514816284,17.33008575439453,3689.451416015625,671.2872924804688,0.7472240924835205,0.24964934587478638,0.7674588561058044,0.05043945927172899,0.20413544680923223,0.4809920210391283,269,210,85,0.00018138450444712842,0.3476818840438872,0.6452790788324243,0.837467638782933,relu,9
